#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.248000000000001E+02  0.107675786623565E+01  0.333295301323459E+00  0.847511671104545E+00  0.262335355657499E+00
     0.249000000000001E+02  0.106629791411182E+01  0.333372477452300E+00  0.854317449299903E+00  0.267097891531627E+00
     0.250000000000001E+02  0.105699691297082E+01  0.334583862304755E+00  0.859914183176298E+00  0.272198911015842E+00
     0.251000000000001E+02  0.104899644259169E+01  0.336601244533638E+00  0.864300638626422E+00  0.277336184185812E+00
     0.252000000000001E+02  0.104235131813294E+01  0.339069316451493E+00  0.867567469647098E+00  0.282213399447417E+00
     0.253000000000001E+02  0.103701681987064E+01  0.341630144434610E+00  0.869896599598455E+00  0.286574812741290E+00
     0.254000000000001E+02  0.103284493417760E+01  0.343956049258974E+00  0.871544364733388E+00  0.290240041392382E+00
     0.255000000000001E+02  0.102959489321265E+01  0.345786114347095E+00  0.872808999769848E+00  0.293130079206071E+00
     0.256000000000001E+02  0.102696006355170E+01  0.346958393808838E+00  0.873988407826421E+00  0.295276929404892E+00
     0.257000000000001E+02  0.102460818764027E+01  0.347429243547303E+00  0.875337708304933E+00  0.296813866523178E+00
     0.258000000000001E+02  0.102222722654659E+01  0.347273986276367E+00  0.877035925075831E+00  0.297949177931413E+00
     0.259000000000001E+02  0.101956696407131E+01  0.346668438411392E+00  0.879167591799002E+00  0.298930493916579E+00
     0.260000000000001E+02  0.101646817088873E+01  0.345856230035130E+00  0.881720111128012E+00  0.300007813637946E+00
     0.261000000000001E+02  0.101287548310639E+01  0.345109896416663E+00  0.884593823255680E+00  0.301401394155893E+00
     0.262000000000001E+02  0.100883491265272E+01  0.344693487720295E+00  0.887620185186481E+00  0.303277467468242E+00
     0.263000000000001E+02  0.100448003187607E+01  0.344831815603198E+00  0.890584028235548E+00  0.305732018216528E+00
     0.264000000000001E+02  0.100001162915960E+01  0.345688193738002E+00  0.893247486603661E+00  0.308781519335459E+00
     0.265000000000001E+02  0.995674554698481E+00  0.347350115621249E+00  0.895374745786770E+00  0.312359615906387E+00
     0.266000000000001E+02  0.991733671124483E+00  0.349821375210179E+00  0.896757485868945E+00  0.316319739936833E+00
     0.267000000000001E+02  0.988449302456869E+00  0.353019531892175E+00  0.897240488047216E+00  0.320444777792693E+00
     0.268000000000001E+02  0.986051960749498E+00  0.356778787785605E+00  0.896745463234794E+00  0.324465415678464E+00
     0.269000000000001E+02  0.984716645446348E+00  0.360859571848761E+00  0.895289326021492E+00  0.328088008223360E+00
     0.270000000000001E+02  0.984538509812086E+00  0.364966686210735E+00  0.892991876509455E+00  0.331030510980181E+00
     0.271000000000001E+02  0.985513624327351E+00  0.368777146833777E+00  0.890068316399944E+00  0.333061711280906E+00
     0.272000000000001E+02  0.987529979081107E+00  0.371976584604315E+00  0.886804873306774E+00  0.334036084950109E+00
     0.273000000000001E+02  0.990373613985339E+00  0.374299719335069E+00  0.883520491031344E+00  0.333915874928297E+00
     0.274000000000001E+02  0.993752118739375E+00  0.375567306143295E+00  0.880522183132854E+00  0.332774479754693E+00
     0.275000000000001E+02  0.997333109114567E+00  0.375710859053704E+00  0.878063944797091E+00  0.330780314008309E+00
     0.276000000000001E+02  0.100079041666958E+01  0.374778567312833E+00  0.876317850129215E+00  0.328165760694452E+00
     0.277000000000001E+02  0.100384794474705E+01  0.372920724554402E+00  0.875361840928658E+00  0.325189261655206E+00
     0.278000000000001E+02  0.100631188096258E+01  0.370358649914454E+00  0.875183845617168E+00  0.322098857840839E+00
     0.279000000000001E+02  0.100808578289493E+01  0.367345022204518E+00  0.875698314980631E+00  0.319103217622251E+00
     0.280000000000001E+02  0.100916801020630E+01  0.364124399486884E+00  0.876769920677310E+00  0.316352993382662E+00
     0.281000000000001E+02  0.100963492796922E+01  0.360900820309247E+00  0.878239657412388E+00  0.313932693895379E+00
     0.282000000000001E+02  0.100961515231225E+01  0.357816284826673E+00  0.879949913318000E+00  0.311861810013348E+00
     0.283000000000001E+02  0.100926004990334E+01  0.354941114987115E+00  0.881766303537890E+00  0.310103540673963E+00
     0.284000000000002E+02  0.100871467869066E+01  0.352275460548464E+00  0.883594744288251E+00  0.308579573647509E+00
     0.285000000000002E+02  0.100809230346825E+01  0.349760476603731E+00  0.885392422814335E+00  0.307189405890181E+00
     0.286000000000002E+02  0.100745499780223E+01  0.347297392600875E+00  0.887171370522491E+00  0.305832324465861E+00
     0.287000000000002E+02  0.100680255599591E+01  0.344772249032351E+00  0.888993736772950E+00  0.304429471476359E+00
     0.288000000000002E+02  0.100607151787470E+01  0.342083256653780E+00  0.890958871224282E+00  0.302942789650604E+00
     0.289000000000002E+02  0.100514506223274E+01  0.339166779798642E+00  0.893183841847978E+00  0.301387629298837E+00
     0.290000000000002E+02  0.100387270776925E+01  0.336017482125977E+00  0.895780519228812E+00  0.299836734557340E+00
     0.291000000000002E+02  0.100209659956634E+01  0.332698827751181E+00  0.898833159017332E+00  0.298415081418666E+00
     0.292000000000002E+02  0.999679523930541E+00  0.329342065589647E+00  0.902380079024870E+00  0.297286992539870E+00
     0.293000000000002E+02  0.996529509691546E+00  0.326134490194646E+00  0.906401668789296E+00  0.296638326599754E+00
     0.294000000000002E+02  0.992617170967895E+00  0.323300132851397E+00  0.910815196813315E+00  0.296656840870165E+00
     0.295000000000002E+02  0.987984272449745E+00  0.321077161831464E+00  0.915475443840578E+00  0.297513093508970E+00
     0.296000000000002E+02  0.982744345466837E+00  0.319695859102050E+00  0.920179594868050E+00  0.299342964898743E+00
     0.297000000000002E+02  0.977077665706698E+00  0.319359505028633E+00  0.924675160845936E+00  0.302231656750074E+00
     0.298000000000002E+02  0.971223153812208E+00  0.320228630810801E+00  0.928670726994634E+00  0.306198379036034E+00
     0.299000000000002E+02  0.965468939291624E+00  0.322407616965645E+00  0.931850616581110E+00  0.311181151907710E+00
     0.300000000000002E+02  0.960141879023407E+00  0.325931952749965E+00  0.933895615314216E+00  0.317022336192224E+00
     0.301000000000002E+02  0.955594724121516E+00  0.330754774254525E+00  0.934512132778718E+00  0.323457572245904E+00
     0.302000000000002E+02  0.952188321080651E+00  0.336732570861823E+00  0.933470901108167E+00  0.330113328840368E+00
     0.303000000000002E+02  0.950265690671909E+00  0.343612112511583E+00  0.930652955125196E+00  0.336520229094671E+00
     0.304000000000003E+02  0.950115667622960E+00  0.351023421905599E+00  0.926095325182924E+00  0.342149025781030E+00
     0.305000000000003E+02  0.951926679048424E+00  0.358486210819889E+00  0.920023248484583E+00  0.346471693119408E+00
     0.306000000000003E+02  0.955736435505046E+00  0.365438063337883E+00  0.912853226959668E+00  0.349041119475158E+00
     0.307000000000003E+02  0.961389737912484E+00  0.371289704057607E+00  0.905155783075795E+00  0.349572092951586E+00
     0.308000000000003E+02  0.968521182825519E+00  0.375504616445702E+00  0.897579215655830E+00  0.347999759923883E+00
     0.309000000000003E+02  0.976577902992695E+00  0.377688608888868E+00  0.890751269416809E+00  0.344495412788942E+00
     0.310000000000003E+02  0.984886947412391E+00  0.377665180589605E+00  0.885185584684621E+00  0.339433652332945E+00
     0.311000000000003E+02  0.992755266736127E+00  0.375511886699543E+00  0.881217617173041E+00  0.333322522785950E+00
     0.312000000000003E+02  0.999576086355675E+00  0.371544494976971E+00  0.878981832144739E+00  0.326719361713446E+00
     0.313000000000003E+02  0.100491257838520E+01  0.366254552592810E+00  0.878426468804604E+00  0.320154907240487E+00
     0.314000000000003E+02  0.100854005847929E+01  0.360221559891135E+00  0.879352131398435E+00  0.314079340530671E+00
     0.315000000000003E+02  0.101044468006097E+01  0.354025323216317E+00  0.881458725985474E+00  0.308833047990339E+00
     0.316000000000003E+02  0.101079018988069E+01  0.348177292063567E+00  0.884389497764499E+00  0.304637246724217E+00
     0.317000000000003E+02  0.100986935892600E+01  0.343078064921701E+00  0.887767050066098E+00  0.301596834229964E+00
     0.318000000000003E+02  0.100805403118383E+01  0.338998473367296E+00  0.891221256785698E+00  0.299708781609681E+00
     0.319000000000003E+02  0.100575148551792E+01  0.336076906973137E+00  0.894411765604496E+00  0.298872180725590E+00
     0.320000000000003E+02  0.100336883591793E+01  0.334325459399664E+00  0.897048388112618E+00  0.298899172192360E+00
     0.321000000000003E+02  0.100128346463384E+01  0.333640109880448E+00  0.898911552223238E+00  0.299528514800991E+00
     0.322000000000003E+02  0.999816347919819E+00  0.333813602777063E+00  0.899872664474523E+00  0.300444913502180E+00
     0.323000000000003E+02  0.999206197188111E+00  0.334552632964465E+00  0.899911339953344E+00  0.301306886469693E+00
     0.324000000000003E+02  0.999584951954638E+00  0.335502489392475E+00  0.899124029033250E+00  0.301783604708504E+00
     0.325000000000003E+02  0.100095842336335E+01  0.336281770063544E+00  0.897717987346461E+00  0.301597136061230E+00
     0.326000000000003E+02  0.100319844796040E+01  0.336526856745902E+00  0.895986934927582E+00  0.300562333912697E+00
     0.327000000000003E+02  0.100605310521562E+01  0.335941142042433E+00  0.894269982155658E+00  0.298614533906985E+00
     0.328000000000003E+02  0.100917821265222E+01  0.334339459657406E+00  0.892901428497964E+00  0.295817108800598E+00
     0.329000000000003E+02  0.101218696161864E+01  0.331676493108849E+00  0.892162752901607E+00  0.292346596414893E+00
     0.330000000000003E+02  0.101470787081403E+01  0.328050976296362E+00  0.892247361141767E+00  0.288459985715489E+00
     0.331000000000003E+02  0.101643779180621E+01  0.323684529893730E+00  0.893243866957536E+00  0.284453434816533E+00
     0.332000000000003E+02  0.101717854298252E+01  0.318881691021849E+00  0.895137531765226E+00  0.280622287793701E+00
     0.333000000000003E+02  0.101685182028463E+01  0.313982313222838E+00  0.897824911546864E+00  0.277229323853368E+00
     0.334000000000003E+02  0.101549400987740E+01  0.309317327655163E+00  0.901135184943113E+00  0.274483871447254E+00
     0.335000000000003E+02  0.101323722409768E+01  0.305174979604086E+00  0.904852668096739E+00  0.272530842692871E+00
     0.336000000000003E+02  0.101028406501644E+01  0.301779700662395E+00  0.908737322214007E+00  0.271446899515363E+00
     0.337000000000003E+02  0.100688204556271E+01  0.299281978844512E+00  0.912542360902975E+00  0.271240792061054E+00
     0.338000000000003E+02  0.100330087144187E+01  0.297755847684043E+00  0.916029643240367E+00  0.271855821808234E+00
     0.339000000000003E+02  0.999813271492156E+00  0.297200686649247E+00  0.918984178020689E+00  0.273173738052031E+00
     0.340000000000003E+02  0.996678458375049E+00  0.297545176122771E+00  0.921228821814814E+00  0.275020684688176E+00
     0.341000000000003E+02  0.994126756616465E+00  0.298652767292974E+00  0.922639295169097E+00  0.277176704963990E+00
     0.342000000000003E+02  0.992344327496789E+00  0.300329388656090E+00  0.923158228516505E+00  0.279390468329249E+00
     0.343000000000003E+02  0.991458021410481E+00  0.302334940901533E+00  0.922805513322907E+00  0.281400063652902E+00
     0.344000000000003E+02  0.991521872739447E+00  0.304400130639050E+00  0.921681405564280E+00  0.282958901840661E+00
     0.345000000000003E+02  0.992508128995810E+00  0.306249173326097E+00  0.919959273799528E+00  0.283863435335119E+00
     0.346000000000003E+02  0.994306321667669E+00  0.307626951481641E+00  0.917866913461016E+00  0.283977476860747E+00
     0.347000000000004E+02  0.996733132756217E+00  0.308326906525141E+00  0.915658512847999E+00  0.283247488642364E+00
     0.348000000000004E+02  0.999553523439697E+00  0.308214269635673E+00  0.913582419206760E+00  0.281704912728258E+00
     0.349000000000004E+02  0.100251038444747E+01  0.307239225978756E+00  0.911851373565947E+00  0.279454970809580E+00
     0.350000000000004E+02  0.100535714205128E+01  0.305436660304970E+00  0.910621098149272E+00  0.276654986957632E+00
     0.351000000000004E+02  0.100788664417176E+01  0.302912607293849E+00  0.909980450535455E+00  0.273487651068776E+00
     0.352000000000004E+02  0.100995080379235E+01  0.299820988619123E+00  0.909953099193826E+00  0.270134977637406E+00
     0.353000000000004E+02  0.101146830002449E+01  0.296336259765237E+00  0.910508150847658E+00  0.266757326849911E+00
     0.354000000000004E+02  0.101242082115938E+01  0.292627640485934E+00  0.911576031604457E+00  0.263479708908466E+00
     0.355000000000004E+02  0.101284067299066E+01  0.288839087114143E+00  0.913066066060972E+00  0.260385642114102E+00
     0.356000000000004E+02  0.101279355150901E+01  0.285077039960536E+00  0.914883045474670E+00  0.257517586012868E+00
     0.357000000000004E+02  0.101236008914377E+01  0.281406106572352E+00  0.916941051363182E+00  0.254882441522076E+00
     0.358000000000004E+02  0.101161897837690E+01  0.277851630850090E+00  0.919173568969092E+00  0.252460541598507E+00
     0.359000000000004E+02  0.101063356261822E+01  0.274407519539028E+00  0.921539421898166E+00  0.250216652478255E+00
     0.360000000000004E+02  0.100944301996604E+01  0.271047504801302E+00  0.924024393552735E+00  0.248111583610167E+00
     0.361000000000004E+02  0.100805866463415E+01  0.267737978677176E+00  0.926638722486300E+00  0.246113036102441E+00
     0.362000000000004E+02  0.100646534469732E+01  0.264450543597922E+00  0.929411052814416E+00  0.244204392568138E+00
     0.363000000000004E+02  0.100462733343054E+01  0.261172528230172E+00  0.932379858181034E+00  0.242390383706266E+00
     0.364000000000004E+02  0.100249751508401E+01  0.257914029045831E+00  0.935583712707639E+00  0.240699015432335E+00
     0.365000000000004E+02  0.100002819020771E+01  0.254710615407397E+00  0.939051907451697E+00  0.239179746719771E+00
     0.366000000000004E+02  0.997181644278993E+00  0.251621611791322E+00  0.942796728737526E+00  0.237898515117623E+00
     0.367000000000004E+02  0.993938835257278E+00  0.248724653333693E+00  0.946808270960779E+00  0.236930634576962E+00
     0.368000000000004E+02  0.990305110277264E+00  0.246107772605112E+00  0.951052101800575E+00  0.236352728039561E+00
     0.369000000000004E+02  0.986312572699971E+00  0.243860468308651E+00  0.955469613178167E+00  0.236234712781250E+00
     0.370000000000004E+02  0.982019356654451E+00  0.242065030205244E+00  0.959980606026908E+00  0.236632539694551E+00
     0.371000000000004E+02  0.977506456012252E+00  0.240788981390279E+00  0.964487604505787E+00  0.237582050148207E+00
     0.372000000000004E+02  0.972872846973263E+00  0.240079037829430E+00  0.968881519417789E+00  0.239094084778102E+00
     0.373000000000004E+02  0.968229499232526E+00  0.239956637931859E+00  0.973048471899829E+00  0.241150925526327E+00
     0.374000000000004E+02  0.963692615015399E+00  0.240414949112816E+00  0.976877725147431E+00  0.243704273459655E+00
     0.375000000000004E+02  0.959376203829771E+00  0.241417319431469E+00  0.980270650596753E+00  0.246675195652863E+00
     0.376000000000004E+02  0.955384004771128E+00  0.242897351357906E+00  0.983150414179081E+00  0.249956698456277E+00
     0.377000000000004E+02  0.951800876208622E+00  0.244761027300383E+00  0.985471614513668E+00  0.253419649816401E+00
     0.378000000000004E+02  0.948684096824474E+00  0.246891479146305E+00  0.987228541688173E+00  0.256922526401261E+00
     0.379000000000004E+02  0.946055499270548E+00  0.249156924955631E+00  0.988460265808495E+00  0.260324812296493E+00
     0.380000000000004E+02  0.943895833755597E+00  0.251421887242898E+00  0.989250692474430E+00  0.263502885767230E+00
     0.381000000000004E+02  0.942143000428649E+00  0.253561052170576E+00  0.989722275236008E+00  0.266366168778328E+00
     0.382000000000004E+02  0.940695555725527E+00  0.255474187155629E+00  0.990023278601509E+00  0.268870614755694E+00
     0.383000000000004E+02  0.939422071222139E+00  0.257099737762115E+00  0.990310040927196E+00  0.271026687178362E+00
     0.384000000000004E+02  0.938175638806398E+00  0.258424469352412E+00  0.990727034854643E+00  0.272899974871586E+00
     0.385000000000004E+02  0.936811482264071E+00  0.259487057957282E+00  0.991388104736521E+00  0.274604215962642E+00
     0.386000000000004E+02  0.935204779805364E+00  0.260374788800174E+00  0.992361833604546E+00  0.276288154656259E+00
     0.387000000000004E+02  0.933265793409226E+00  0.261214058654328E+00  0.993662777669838E+00  0.278118719149345E+00
     0.388000000000004E+02  0.930950232557929E+00  0.262156620428913E+00  0.995248852849642E+00  0.280263183384059E+00
     0.389000000000004E+02  0.928264073654752E+00  0.263364032112702E+00  0.997024031558681E+00  0.282872381380363E+00
     0.390000000000004E+02  0.925263282471367E+00  0.264992508728380E+00  0.998845027757489E+00  0.286066090323341E+00
     0.391000000000004E+02  0.922049637296364E+00  0.267179586830321E+00  0.100053080840339E+01  0.289920842856209E+00
     0.392000000000004E+02  0.918763989902169E+00  0.270033100566227E+00  0.100187433014616E+01  0.294459986155843E+00
     0.393000000000004E+02  0.915577946743344E+00  0.273622283379528E+00  0.100265653020748E+01  0.299645890572843E+00
     0.394000000000004E+02  0.912684352495374E+00  0.277970536467780E+00  0.100266298105897E+01  0.305374761799435E+00
     0.395000000000004E+02  0.910286376623240E+00  0.283049571190759E+00  0.100170349299206E+01  0.311475324066109E+00
     0.396000000000004E+02  0.908584663087721E+00  0.288775152947672E+00  0.999634162629824E+00  0.317713384269700E+00
     0.397000000000004E+02  0.907762071118017E+00  0.295005386803473E+00  0.996379948279169E+00  0.323804509350454E+00
     0.398000000000004E+02  0.907966114582288E+00  0.301543153627798E+00  0.991954138722153E+00  0.329436280099543E+00
     0.399000000000004E+02  0.909290290664618E+00  0.308144613170970E+00  0.986469776868970E+00  0.334299564087460E+00
     0.400000000000004E+02  0.911756868277890E+00  0.314535285487667E+00  0.980138133411777E+00  0.338125259415167E+00
     0.401000000000004E+02  0.915304908399527E+00  0.320433862650185E+00  0.973251385230956E+00  0.340720013448318E+00
     0.402000000000004E+02  0.919787631990557E+00  0.325581688643466E+00  0.966150565909759E+00  0.341993001201792E+00
     0.403000000000004E+02  0.924982132925843E+00  0.329773400184231E+00  0.959184303134232E+00  0.341967112432080E+00
     0.404000000000004E+02  0.930611766596109E+00  0.332882602563260E+00  0.952666874315186E+00  0.340771780328756E+00
     0.405000000000004E+02  0.936378066035455E+00  0.334876672710085E+00  0.946844227924393E+00  0.338619683782794E+00
     0.406000000000004E+02  0.941996127804989E+00  0.335817131162391E+00  0.941873825129253E+00  0.335773530841236E+00
     0.407000000000004E+02  0.947226382121063E+00  0.335845730149460E+00  0.937819886003544E+00  0.332510591246696E+00
     0.408000000000004E+02  0.951896959298120E+00  0.335159961246469E+00  0.934661776746532E+00  0.329091507030242E+00
     0.409000000000004E+02  0.955913796641663E+00  0.333983718015621E+00  0.932311118865093E+00  0.325737252584702E+00
     0.410000000000004E+02  0.959258849443457E+00  0.332538853457089E+00  0.930632925641795E+00  0.322615325635920E+00
     0.411000000000004E+02  0.961979085686585E+00  0.331021825313002E+00  0.929467062013683E+00  0.319834275000364E+00
     0.412000000000004E+02  0.964169863756909E+00  0.329587502978943E+00  0.928647742643152E+00  0.317444780375293E+00
     0.413000000000004E+02  0.965956029983974E+00  0.328340392589600E+00  0.928019996777427E+00  0.315445466061178E+00
     0.414000000000004E+02  0.967473201603442E+00  0.327332451711754E+00  0.927452752998946E+00  0.313792033704720E+00
     0.415000000000004E+02  0.968850778376779E+00  0.326566297771943E+00  0.926848437743932E+00  0.312408752374492E+00
     0.416000000000004E+02  0.970197587211917E+00  0.326002694173611E+00  0.926148912428697E+00  0.311201599176690E+00
     0.417000000000005E+02  0.971590788794743E+00  0.325571399156068E+00  0.925337430156674E+00  0.310072311617225E+00
     0.418000000000005E+02  0.973068653688068E+00  0.325184536914425E+00  0.924436290342713E+00  0.308932351116871E+00
     0.419000000000005E+02  0.974627840083875E+00  0.324751491711839E+00  0.923500140556361E+00  0.307715453948003E+00
     0.420000000000005E+02  0.976225664151626E+00  0.324193983164500E+00  0.922605418510430E+00  0.306387279600950E+00
     0.421000000000005E+02  0.977787417745623E+00  0.323459633689457E+00  0.921837096895003E+00  0.304950835193281E+00
     0.422000000000005E+02  0.979218079160476E+00  0.322532222841672E+00  0.921274447840080E+00  0.303446905069243E+00
     0.423000000000005E+02  0.980416967604725E+00  0.321437118531571E+00  0.920977752759298E+00  0.301949522356679E+00
     0.424000000000005E+02  0.981293295428233E+00  0.320241101037894E+00  0.920977645649538E+00  0.300557332500052E+00
     0.425000000000005E+02  0.981780421963244E+00  0.319046772460534E+00  0.921268174852436E+00  0.299382256135762E+00
     0.426000000000005E+02  0.981846989630365E+00  0.317982661996768E+00  0.921803922813581E+00  0.298537010665660E+00
     0.427000000000005E+02  0.981503892064736E+00  0.317190702011781E+00  0.922500890476577E+00  0.298122816855279E+00
     0.428000000000005E+02  0.980806902957384E+00  0.316812819264066E+00  0.923240509101409E+00  0.298218158605189E+00
     0.429000000000005E+02  0.979855489465827E+00  0.316978018638759E+00  0.923876130590154E+00  0.298868994959408E+00
     0.430000000000005E+02  0.978788661804338E+00  0.317790739485992E+00  0.924241588215353E+00  0.300080527333876E+00
     0.431000000000005E+02  0.977778643801786E+00  0.319320685244770E+00  0.924161757832554E+00  0.301810606785891E+00
     0.432000000000005E+02  0.977022789190634E+00  0.321593964908470E+00  0.923465302621687E+00  0.303965139207784E+00
     0.433000000000005E+02  0.976733685120370E+00  0.324585350349233E+00  0.921999775745151E+00  0.306396333812602E+00
     0.434000000000005E+02  0.977126967644703E+00  0.328211768936598E+00  0.919648844797918E+00  0.308905172148904E+00
     0.435000000000005E+02  0.978406211656353E+00  0.332327761817197E+00  0.916350535291975E+00  0.311249784399910E+00
     0.436000000000005E+02  0.980744526162202E+00  0.336724406810989E+00  0.912114180476974E+00  0.313161173141440E+00
     0.437000000000005E+02  0.984263317592504E+00  0.341133882717625E+00  0.907032573935822E+00  0.314366631538118E+00
     0.438000000000005E+02  0.989010084430589E+00  0.345242064635027E+00  0.901285259007681E+00  0.314619222334901E+00
     0.439000000000005E+02  0.994938823699295E+00  0.348710848233878E+00  0.895129616953334E+00  0.313729247037005E+00
     0.440000000000005E+02  0.100189805314885E+01  0.351209999227932E+00  0.888878745161955E+00  0.311591685821626E+00
     0.441000000000005E+02  0.100963169039008E+01  0.352455360308527E+00  0.882868595304719E+00  0.308203250576438E+00
     0.442000000000005E+02  0.101779629350189E+01  0.352247080526109E+00  0.877420203475726E+00  0.303664600708604E+00
     0.443000000000005E+02  0.102599438745371E+01  0.350499613646144E+00  0.872804563788714E+00  0.298166994027868E+00
     0.444000000000005E+02  0.103381886333810E+01  0.347255926413480E+00  0.869216893754143E+00  0.291966734598194E+00
     0.445000000000005E+02  0.104089972077839E+01  0.342681979566682E+00  0.866764072788512E+00  0.285353547850250E+00
     0.446000000000005E+02  0.104694354303337E+01  0.337042859345325E+00  0.865465278663830E+00  0.278619505441334E+00
     0.447000000000005E+02  0.105175852689679E+01  0.330666704625042E+00  0.865262831842424E+00  0.272033553256795E+00
     0.448000000000005E+02  0.105526243614542E+01  0.323904862709258E+00  0.866038860780401E+00  0.265824110376370E+00
     0.449000000000005E+02  0.105747542960234E+01  0.317095975672800E+00  0.867633603432463E+00  0.260169755537850E+00
     0.450000000000005E+02  0.105850263461117E+01  0.310538869234819E+00  0.869862355828811E+00  0.255196410038454E+00
     0.451000000000005E+02  0.105851203988060E+01  0.304475751323049E+00  0.872529554332308E+00  0.250978809496453E+00
     0.452000000000005E+02  0.105771226292277E+01  0.299084600445199E+00  0.875439732022095E+00  0.247544206155053E+00
     0.453000000000005E+02  0.105633294636278E+01  0.294478269177085E+00  0.878405905680405E+00  0.244876818081237E+00
     0.454000000000005E+02  0.105460877418777E+01  0.290707636852762E+00  0.881256318010175E+00  0.242922255096552E+00
     0.455000000000005E+02  0.105276682747673E+01  0.287766703835082E+00  0.883840460589851E+00  0.241591822065312E+00
     0.456000000000005E+02  0.105101634048215E+01  0.285598398836516E+00  0.886035029072673E+00  0.240767127845163E+00
     0.457000000000005E+02  0.104953980587680E+01  0.284100759428493E+00  0.887749992489521E+00  0.240305746991856E+00
     0.458000000000005E+02  0.104848468423664E+01  0.283133853614437E+00  0.888934375882017E+00  0.240048728644105E+00
     0.459000000000005E+02  0.104795556221218E+01  0.282528217706031E+00  0.889580779165079E+00  0.239830467155024E+00
     0.460000000000005E+02  0.104800732819734E+01  0.282095605310222E+00  0.889727259463160E+00  0.239490834716764E+00
     0.461000000000005E+02  0.104864060253594E+01  0.281642423826060E+00  0.889455191069781E+00  0.238888629041979E+00
     0.462000000000005E+02  0.104980103015186E+01  0.280985416473168E+00  0.888882229375944E+00  0.237914553561325E+00
     0.463000000000005E+02  0.105138387987990E+01  0.279968118457988E+00  0.888150510790891E+00  0.236501464566899E+00
     0.464000000000005E+02  0.105324458309724E+01  0.278475726459610E+00  0.887411448206031E+00  0.234629782743383E+00
     0.465000000000005E+02  0.105521452091636E+01  0.276445686066230E+00  0.886809485992620E+00  0.232326841515009E+00
     0.466000000000005E+02  0.105711994985281E+01  0.273871800962631E+00  0.886467544072927E+00  0.229660279161298E+00
     0.467000000000005E+02  0.105880099160357E+01  0.270800949164219E+00  0.886476447001790E+00  0.226726896898951E+00
     0.468000000000005E+02  0.106012751749266E+01  0.267323136785872E+00  0.886889588946827E+00  0.223639234891986E+00
     0.469000000000005E+02  0.106100957723817E+01  0.263557028859599E+00  0.887722853415823E+00  0.220512239207168E+00
     0.470000000000005E+02  0.106140140689845E+01  0.259633793948077E+00  0.888958816750046E+00  0.217451897798821E+00
     0.471000000000005E+02  0.106129946375132E+01  0.255681955100966E+00  0.890553757531330E+00  0.214546915008595E+00
     0.472000000000005E+02  0.106073592837736E+01  0.251815174870495E+00  0.892445970841132E+00  0.211863699717994E+00
     0.473000000000005E+02  0.105976950511072E+01  0.248123910330045E+00  0.894564183736182E+00  0.209444376573787E+00
     0.474000000000005E+02  0.105847522550871E+01  0.244671008279861E+00  0.896835279951714E+00  0.207307253791677E+00
     0.475000000000005E+02  0.105693454293151E+01  0.241490758187517E+00  0.899190907795376E+00  0.205449141132762E+00
     0.476000000000005E+02  0.105522653225809E+01  0.238590694538062E+00  0.901572786088072E+00  0.203849003634375E+00
     0.477000000000005E+02  0.105342063103079E+01  0.235955445631722E+00  0.903936631845460E+00  0.202472558925704E+00
     0.478000000000005E+02  0.105157113273720E+01  0.233552034295289E+00  0.906254649724979E+00  0.201277507953168E+00
     0.479000000000005E+02  0.104971354853259E+01  0.231336140797337E+00  0.908516506535500E+00  0.200219100502613E+00
     0.480000000000005E+02  0.104786292740094E+01  0.229258879930734E+00  0.910728721854848E+00  0.199255686248075E+00
     0.481000000000005E+02  0.104601419435247E+01  0.227273614992601E+00  0.912912476531850E+00  0.198353827159755E+00
     0.482000000000005E+02  0.104414447716301E+01  0.225342266730959E+00  0.915099981907342E+00  0.197492501007852E+00
     0.483000000000005E+02  0.104221722631557E+01  0.223440535654059E+00  0.917329736263991E+00  0.196665956450197E+00
     0.484000000000005E+02  0.104018771630277E+01  0.221561500993958E+00  0.919641166970241E+00  0.195884910133329E+00
     0.485000000000005E+02  0.103800931121225E+01  0.219717220526991E+00  0.922069256774560E+00  0.195175989312940E+00
     0.486000000000005E+02  0.103563975670729E+01  0.217938217556167E+00  0.924639740302686E+00  0.194579568405000E+00
     0.487000000000005E+02  0.103304677617324E+01  0.216271044906943E+00  0.927365329873534E+00  0.194146357675276E+00
     0.488000000000006E+02  0.103021240704239E+01  0.214774378856499E+00  0.930243225809114E+00  0.193933221579225E+00
     0.489000000000006E+02  0.102713577038517E+01  0.213514248264190E+00  0.933253946395935E+00  0.193998710345366E+00
     0.490000000000006E+02  0.102383424807743E+01  0.212559014863477E+00  0.936361336219286E+00  0.194398696426464E+00
     0.491000000000006E+02  0.102034327241195E+01  0.211974606154794E+00  0.939513516752180E+00  0.195182359775724E+00
     0.492000000000006E+02  0.101671506432703E+01  0.211820313692552E+00  0.942644538194900E+00  0.196388613473704E+00
     0.493000000000006E+02  0.101301667681906E+01  0.212145268932231E+00  0.945676559592721E+00  0.198042947020051E+00
     0.494000000000006E+02  0.100932762936242E+01  0.212985548005889E+00  0.948522493381339E+00  0.200154614984979E+00
     0.495000000000006E+02  0.100573729418666E+01  0.214361766252398E+00  0.951089164308687E+00  0.202714122567765E+00
     0.496000000000006E+02  0.100234205603162E+01  0.216277011854920E+00  0.953281116267741E+00  0.205691051316724E+00
