#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.135000000000000E+01  0.217029286717514E+00  0.198158639585670E-01  0.456957829169401E+01  0.417225449826456E+00
     0.136000000000000E+01  0.216954345671723E+00  0.199677493102820E-01  0.457054872242684E+01  0.420657953715023E+00
     0.137000000000000E+01  0.216878855765623E+00  0.201195887709534E-01  0.457152625794278E+01  0.424094954027340E+00
     0.138000000000000E+01  0.216802811314542E+00  0.202713791604957E-01  0.457251103182500E+01  0.427536452501050E+00
     0.139000000000000E+01  0.216726206442392E+00  0.204231174236542E-01  0.457350318166235E+01  0.430982455005388E+00
     0.140000000000000E+01  0.216649035084518E+00  0.205748006373083E-01  0.457450284895091E+01  0.434432971719658E+00
     0.141000000000000E+01  0.216571290990837E+00  0.207264260177002E-01  0.457551017898827E+01  0.437888017309030E+00
     0.142000000000000E+01  0.216492967729297E+00  0.208779909275750E-01  0.457652532076002E+01  0.441347611097092E+00
     0.143000000000000E+01  0.216414058689640E+00  0.210294928832159E-01  0.457754842681895E+01  0.444811777234938E+00
     0.144000000000000E+01  0.216334557087458E+00  0.211809295613604E-01  0.457857965315741E+01  0.448280544866437E+00
     0.145000000000000E+01  0.216254455968553E+00  0.213322988059819E-01  0.457961915907215E+01  0.451753948289198E+00
     0.146000000000000E+01  0.216173748213582E+00  0.214835986349207E-01  0.458066710702280E+01  0.455232027111043E+00
     0.147000000000000E+01  0.216092426543002E+00  0.216348272463530E-01  0.458172366248309E+01  0.458714826401488E+00
     0.148000000000000E+01  0.216010483522270E+00  0.217859830250789E-01  0.458278899378639E+01  0.462202396838094E+00
     0.149000000000000E+01  0.215927911567334E+00  0.219370645486191E-01  0.458386327196441E+01  0.465694794847172E+00
     0.150000000000000E+01  0.215844702950383E+00  0.220880705931055E-01  0.458494667058025E+01  0.469192082738674E+00
     0.151000000000000E+01  0.215760849805841E+00  0.222390001389503E-01  0.458603936555580E+01  0.472694328834935E+00
     0.152000000000000E+01  0.215676344136613E+00  0.223898523762844E-01  0.458714153499366E+01  0.476201607592974E+00
     0.153000000000000E+01  0.215591177820557E+00  0.225406267101496E-01  0.458825335899415E+01  0.479713999720148E+00
     0.154000000000000E+01  0.215505342617185E+00  0.226913227654348E-01  0.458937501946733E+01  0.483231592282820E+00
     0.155000000000000E+01  0.215418830174566E+00  0.228419403915440E-01  0.459050669994079E+01  0.486754478807912E+00
     0.156000000000000E+01  0.215331632036420E+00  0.229924796667869E-01  0.459164858536352E+01  0.490282759377153E+00
     0.157000000000000E+01  0.215243739649409E+00  0.231429409024799E-01  0.459280086190564E+01  0.493816540713652E+00
     0.158000000000000E+01  0.215155144370581E+00  0.232933246467524E-01  0.459396371675524E+01  0.497355936260908E+00
