# final state angular momentum:   1
# broadening parameter (in eV):    1.50000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
   18.49498328    0.00089652    0.00044203    0.00045449
   18.59531773    0.00088323    0.00043593    0.00044730
   18.69565217    0.00087313    0.00043140    0.00044173
   18.79598662    0.00086636    0.00042850    0.00043786
   18.89632107    0.00086301    0.00042728    0.00043573
   18.99665552    0.00086315    0.00042778    0.00043537
   19.09698997    0.00086684    0.00043003    0.00043682
   19.19732441    0.00087412    0.00043404    0.00044008
   19.29765886    0.00088500    0.00043983    0.00044517
   19.39799331    0.00089948    0.00044741    0.00045208
   19.49832776    0.00091755    0.00045675    0.00046080
   19.59866221    0.00093913    0.00046784    0.00047128
   19.69899666    0.00096409    0.00048061    0.00048348
   19.79933110    0.00099224    0.00049497    0.00049726
   19.89966555    0.00102326    0.00051077    0.00051250
   20.00000000    0.00105675    0.00052780    0.00052896
