# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
   16.88963211    0.00136719    0.00066462    0.00070257
   16.98996656    0.00142828    0.00069190    0.00073638
   17.09030100    0.00147281    0.00071120    0.00076161
   17.19063545    0.00149196    0.00071865    0.00077331
   17.29096990    0.00148005    0.00071175    0.00076831
   17.39130435    0.00143668    0.00069034    0.00074634
   17.49163880    0.00136703    0.00065684    0.00071018
   17.59197324    0.00127988    0.00061532    0.00066456
   17.69230769    0.00118479    0.00057020    0.00061459
   17.79264214    0.00108980    0.00052523    0.00056457
   17.89297659    0.00100045    0.00048299    0.00051746
   17.99331104    0.00091987    0.00044493    0.00047493
   18.09364548    0.00084937    0.00041168    0.00043769
   18.19397993    0.00078910    0.00038329    0.00040581
   18.29431438    0.00073857    0.00035953    0.00037903
   18.39464883    0.00069703    0.00034006    0.00035696
   18.49498328    0.00066364    0.00032448    0.00033916
   18.59531773    0.00063766    0.00031244    0.00032521
   18.69565217    0.00061843    0.00030365    0.00031478
   18.79598662    0.00060544    0.00029786    0.00030759
   18.89632107    0.00059835    0.00029491    0.00030344
   18.99665552    0.00059695    0.00029473    0.00030222
   19.09698997    0.00060118    0.00029730    0.00030388
   19.19732441    0.00061114    0.00030266    0.00030848
   19.29765886    0.00062708    0.00031096    0.00031612
   19.39799331    0.00064941    0.00032241    0.00032700
   19.49832776    0.00067871    0.00033730    0.00034141
   19.59866221    0.00071573    0.00035602    0.00035972
   19.69899666    0.00076141    0.00037902    0.00038239
   19.79933110    0.00081684    0.00040688    0.00040996
   19.89966555    0.00088324    0.00044019    0.00044305
   20.00000000    0.00096185    0.00047959    0.00048226
