#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.152000000000000E+01  0.166590582783743E+00  0.111912162008743E-01  0.597577233403162E+01  0.401440219728178E+00
     0.153000000000000E+01  0.166538642688082E+00  0.112163787376532E-01  0.597749833371262E+01  0.402584554145699E+00
     0.154000000000000E+01  0.166483779698624E+00  0.112387772255826E-01  0.597934234406959E+01  0.403645908821507E+00
     0.155000000000000E+01  0.166425850615649E+00  0.112585648691621E-01  0.598130902682614E+01  0.404630383031943E+00
     0.156000000000000E+01  0.166364726582968E+00  0.112759022018862E-01  0.598340250919175E+01  0.405544269593225E+00
     0.157000000000000E+01  0.166300293350012E+00  0.112909555370354E-01  0.598562638325948E+01  0.406393999633216E+00
     0.158000000000000E+01  0.166232451353059E+00  0.113038954466777E-01  0.598798371145413E+01  0.407186089477354E+00
     0.159000000000000E+01  0.166161115627427E+00  0.113148952906101E-01  0.599047703747297E+01  0.407927090305493E+00
     0.160000000000000E+01  0.166086215564850E+00  0.113241298141015E-01  0.599310840210337E+01  0.408623541120437E+00
     0.161000000000000E+01  0.166007694532178E+00  0.113317738302205E-01  0.599587936326085E+01  0.409281925450683E+00
     0.162000000000000E+01  0.165925509368786E+00  0.113380009993572E-01  0.599879101957373E+01  0.409908632094014E+00
     0.163000000000000E+01  0.165839629780735E+00  0.113429827154048E-01  0.600184403684339E+01  0.410509920098596E+00
     0.164000000000000E+01  0.165750037649926E+00  0.113468871050324E-01  0.600503867672368E+01  0.411091888075761E+00
     0.165000000000000E+01  0.165656726276156E+00  0.113498781436429E-01  0.600837482699692E+01  0.411660447847219E+00
     0.166000000000000E+01  0.165559699569275E+00  0.113521148890354E-01  0.601185203286477E+01  0.412221302349038E+00
     0.167000000000000E+01  0.165458971207614E+00  0.113537508314986E-01  0.601546952872299E+01  0.412779927646801E+00
     0.168000000000000E+01  0.165354563777649E+00  0.113549333571086E-01  0.601922626994317E+01  0.413341558860564E+00
     0.169000000000000E+01  0.165246507908301E+00  0.113558033193717E-01  0.602312096424649E+01  0.413911179755298E+00
     0.170000000000000E+01  0.165134841411832E+00  0.113564947130533E-01  0.602715210231108E+01  0.414493515720056E+00
     0.171000000000000E+01  0.165019608441645E+00  0.113571344430500E-01  0.603131798731492E+01  0.415093029837992E+00
     0.172000000000000E+01  0.164900858675700E+00  0.113578421804728E-01  0.603561676317302E+01  0.415713921737369E+00
     0.173000000000000E+01  0.164778646532692E+00  0.113587302976831E-01  0.604004644128170E+01  0.416360128910198E+00
     0.174000000000000E+01  0.164653030426708E+00  0.113599038738338E-01  0.604460492562930E+01  0.417035330187961E+00
     0.175000000000000E+01  0.164524072064639E+00  0.113614607624777E-01  0.604929003618117E+01  0.417742951073547E+00
