#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.209000000000000E+02  0.113182977128965E+01  0.661726189580503E+00  0.658453943178204E+00  0.384966211250211E+00
     0.210000000000000E+02  0.114143733190368E+01  0.658734543035367E+00  0.657203195287291E+00  0.379278331300880E+00
     0.211000000000000E+02  0.115142797718163E+01  0.652922055440212E+00  0.657172641391052E+00  0.372652497854354E+00
     0.212000000000000E+02  0.116099519798554E+01  0.644379978921628E+00  0.658483286870075E+00  0.365473903121922E+00
     0.213000000000000E+02  0.116941643925996E+01  0.633422287356148E+00  0.661150955018186E+00  0.358116865947552E+00
     0.214000000000000E+02  0.117611568582560E+01  0.620539840597493E+00  0.665104250878102E+00  0.350920994248022E+00
     0.215000000000000E+02  0.118070194527905E+01  0.606338029509614E+00  0.670204920613405E+00  0.344177235039904E+00
     0.216000000000000E+02  0.118298117453114E+01  0.591470510743410E+00  0.676266773053783E+00  0.338121909518509E+00
     0.217000000000000E+02  0.118294538480627E+01  0.576579949465513E+00  0.683071082792836E+00  0.332935987964098E+00
     0.218000000000000E+02  0.118074642316555E+01  0.562252485825501E+00  0.690377913317174E+00  0.328746875964222E+00
     0.219000000000000E+02  0.117666276846542E+01  0.548987884436337E+00  0.697933885968570E+00  0.325630467626697E+00
     0.220000000000000E+02  0.117106625724169E+01  0.537183530413942E+00  0.705477612455724E+00  0.323611881175356E+00
     0.221000000000000E+02  0.116439309379108E+01  0.527128252996993E+00  0.712744430436161E+00  0.322663994189371E+00
     0.222000000000000E+02  0.115712077339866E+01  0.519001314990216E+00  0.719472335479485E+00  0.322703642348563E+00
     0.223000000000000E+02  0.114975021531413E+01  0.512872388434603E+00  0.725411096558669E+00  0.323586216148142E+00
     0.224000000000000E+02  0.114279064189313E+01  0.508699534465464E+00  0.730336351512195E+00  0.325100458822449E+00
     0.225000000000000E+02  0.113674355089998E+01  0.506323894665313E+00  0.734069747433203E+00  0.326966494054088E+00
     0.226000000000000E+02  0.113208155366776E+01  0.505461950907071E+00  0.736504611584272E+00  0.328841201075427E+00
     0.227000000000000E+02  0.112921816052630E+01  0.505698837344998E+00  0.737634072251072E+00  0.330335364558401E+00
